Index,Chinese,English
Text_00000,XXX小区楼盘展示软件,TJD
Text_00001,,TJD
Text_00002,,TJD
Text_00003,,TJD
Text_00004,浏览模式,TJD
Text_00005,对比模式,TJD
Text_00006,漫游模式,TJD
Text_00007,开始,TJD
Text_10000,返回,
Text_10001,模式,
Text_10002,重置,
Text_10003,对比模式,
Text_10004,漫游模式,
Text_10005,,
Text_10006,,
Text_10007,,
Text_10008,,
Text_20000,,TJD
Text_20001,,TJD
Text_20002,,TJD
Text_20003,,TJD
Text_20004,,TJD
Text_20005,,TJD
Text_20006,,TJD
Text_20007,,TJD
Text_20008,,TJD
Text_20009,,TJD
Text_20010,,TJD
Text_20011,,TJD
Text_20012,,TJD
Text_20013,,TJD
Text_20014,,TJD
Text_20015,,TJD
Text_20016,,TJD
Text_20017,,TJD
Text_20018,,TJD
Text_20019,,TJD
Text_20020,,TJD
Text_20021,,TJD
Text_20022,,TJD
Text_20023,,TJD
Text_20024,,TJD
Text_20025,,TJD
Text_20026,,TJD
Text_20027,,TJD
Text_20028,,TJD
Text_20029,,TJD
Text_20030,,TJD
Text_20031,,TJD
Text_20032,,TJD
Text_20033,,TJD
Text_20034,,TJD
Text_20035,,TJD
Text_20036,,TJD
Text_20037,,TJD
Text_20038,,TJD
Text_20039,,TJD
Text_20040,,TJD
Text_20041,,TJD
Text_20042,,TJD
Text_20043,,TJD
Text_20044,,TJD
Text_20045,,TJD
Text_20046,,TJD
Text_20047,,TJD
Text_20048,,TJD
Text_20049,,TJD
Text_20050,,TJD
Text_20051,,TJD
Text_20052,,TJD
Text_20053,,TJD
Text_20054,,TJD
Text_20055,,TJD
Text_20056,,TJD
Text_20057,,TJD
Text_20058,,TJD
Text_20059,,TJD
Text_20060,,TJD
Text_20061,,TJD
Text_20062,,TJD
Text_20063,,TJD
Text_20064,,TJD
Text_20065,,TJD
Text_30000,,TJD
Text_30001,,TJD
Text_30002,,TJD
Text_30003,,TJD
Text_30004,,TJD
Text_30005,,TJD
Text_30006,,TJD
Text_30007,,TJD
Text_30008,,TJD
Text_30009,,TJD
Text_30010,,TJD
Text_30011,,TJD
Text_30012,,TJD
Text_30013,,TJD
Text_30014,,TJD
Text_30015,,TJD
Text_30016,,TJD
Text_30017,,TJD
Text_30018,,TJD
Text_30019,,TJD
Text_30020,,TJD
Text_30021,,TJD
Text_30022,,TJD
Text_30023,,TJD
Text_30024,,TJD
Text_30025,,TJD
Text_30026,,TJD
Text_30027,,TJD
Text_30028,,TJD
Text_30029,,TJD
